delta_mu_ev,p_th_w_cm3,temperature_k,delta_mu_carrier_statistics_model
1.0611789929294846,1425843798.2865884,756.5289990754359,fd
1.0611789929294846,1489790697.600979,765.348070421644,fd
1.0611789929294846,1556605516.905517,774.3584524648718,fd
1.0611789929294846,1626416877.9966877,783.5605246433597,fd
1.0611789929294846,1699359171.160546,792.9564437956252,fd
1.0611789929294846,1775572813.8805869,802.5522856772903,fd
1.0611789929294846,1855204521.1482718,812.3540124446805,fd
1.0611789929294846,1938407587.896567,822.3674757105038,fd
1.0611789929294846,2025342184.10019,832.5984240924349,fd
1.0611789929294846,2116175663.110647,843.0525056963478,fd
1.0611789929294846,2211082883.819616,853.7352748072518,fd
1.0611789929294846,2310246547.2709146,864.6521938459015,fd
1.0611789929294846,2413857548.368847,875.8166055888789,fd
1.0611789929294846,2522115343.3603764,887.2313645894907,fd
1.0611789929294846,2635228333.798007,898.8981700679814,fd
1.0611789929294846,2753414267.723117,910.8298334412617,fd
1.0611789929294846,2876900658.841482,923.0360813082816,fd
1.0611789929294846,3005925224.4983444,935.5160062297981,fd
1.0611789929294846,3140736343.2959204,948.2897305131769,fd
1.0611789929294846,3281593533.2343674,,fd
1.0611789929294846,3428767951.296629,,fd
1.0611789929294846,3582542915.438897,,fd
1.0611789929294846,3743214449.991541,,fd
1.0611789929294846,3911091855.52041,,fd
1.0611789929294846,4086498304.2456403,,fd
1.0611789929294846,4269771462.163812,,fd
1.0611789929294846,4461264139.071763,,fd
1.0611789929294846,4661344967.742438,,fd
1.0611789929294846,4870399113.561279,,fd
1.0611789929294846,5088829015.988242,,fd
1.0611789929294846,5317055163.273538,,fd
1.0611789929294846,5555516901.918072,,fd
1.0611789929294846,5804673282.436955,,fd
1.0611789929294846,6065003943.054212,,fd
1.0656004389782303,169469.15904010375,,fd
1.0656004389782303,177069.58993095998,,fd
1.0656004389782303,185010.88844666228,300.04879750634234,fd
1.0656004389782303,193308.3419754308,300.20306828862766,fd
1.0656004389782303,201977.92352131248,300.35733907091293,fd
1.0656004389782303,211036.32245299703,300.51160985319825,fd
1.0656004389782303,220500.97663166595,300.6658806354835,fd
1.0656004389782303,230390.1059797302,300.82015141776884,fd
1.0656004389782303,240722.74755507178,300.9744222000541,fd
1.0656004389782303,251518.79219831192,301.12869298233943,fd
1.0656004389782303,262799.02282365185,301.2829637646247,fd
1.0656004389782303,274585.1544270016,301.43723454690996,fd
1.0656004389782303,286899.87588840694,301.5915053291953,fd
1.0656004389782303,299766.89364925516,301.74577611148055,fd
1.0656004389782303,313210.97734833474,301.9000468937659,fd
1.0656004389782303,327258.00750460156,302.05431767605114,fd
1.0656004389782303,341935.0253384439,302.20858845833646,fd
1.0656004389782303,357270.2848273576,302.36285924062173,fd
1.0656004389782303,373293.30709623086,302.51713002290705,fd
1.0656004389782303,390034.93724695715,302.6714008051923,fd
1.0656004389782303,407527.4037367648,302.82567158747764,fd
1.0656004389782303,425804.38041957415,302.9799423697629,fd
1.0656004389782303,444901.0513698143,303.1342131520482,fd
1.0656004389782303,464854.17861348664,303.2884839343335,fd
1.0656004389782303,485702.17289686773,303.44275471661877,fd
1.0656004389782303,507485.16762906977,303.5970254989041,fd
1.0656004389782303,530245.0961408204,303.75129628118935,fd
1.0656004389782303,554025.7724081757,303.9055670634747,fd
1.0656004389782303,578872.9753965676,304.05983784575994,fd
1.0656004389782303,604834.5371875509,304.21410862804527,fd
1.0656004389782303,631960.4350579067,304.36837941033053,fd
1.0656004389782303,660302.8876883368,304.52265019261586,fd
1.0656004389782303,689916.4556869855,304.6769209749011,fd
1.0656004389782303,720858.1466212778,304.8311917571864,fd
1.0656004389782303,753187.5247602767,304.9854625394717,fd
1.0656004389782303,786966.825738815,305.30291513602305,fd
1.0656004389782303,822261.076364137,305.6373447081018,fd
1.0656004389782303,859138.21979569,305.9717742801805,fd
1.0656004389782303,897669.2463390214,306.3062038522593,fd
1.0656004389782303,937928.3301055967,306.64063342433803,fd
1.0656004389782303,979992.9718015924,306.97506299641674,fd
1.0656004389782303,1023944.1479205467,307.3094925684955,fd
1.0656004389782303,1069866.466627071,307.6439221405742,fd
1.0656004389782303,1117848.3306317138,307.97835171265297,fd
1.0656004389782303,1167982.107370493,308.3127812847317,fd
1.0656004389782303,1220364.3068167367,308.64721085681043,fd
1.0656004389782303,1275095.7672675033,308.9816404288892,fd
1.0656004389782303,1332281.8494622372,309.3160700009679,fd
1.0656004389782303,1392032.6394073472,309.65049957304666,fd
1.0656004389782303,1454463.1602971533,309.9849291451254,fd
1.0656004389782303,1519693.5939391747,310.46025330821806,fd
1.0656004389782303,1587849.5121099737,310.942226426919,fd
1.0656004389782303,1659062.1182869805,311.4241995456199,fd
1.0656004389782303,1733468.5002216047,311.90617266432076,fd
1.0656004389782303,1811211.893839861,312.3881457830217,fd
1.0656004389782303,1892441.95897855,312.87011890172255,fd
1.0656004389782303,1977315.0674877453,313.35209202042347,fd
1.0656004389782303,2065994.6042542711,313.8340651391244,fd
1.0656004389782303,2158651.2817256,314.3160382578253,fd
1.0656004389782303,2255463.468539667,314.7980113765262,fd
1.0656004389782303,2356617.532893227,315.3554685063486,fd
1.0656004389782303,2462308.201309751,315.96738190700245,fd
1.0656004389782303,2572738.9334975076,316.5792953076563,fd
1.0656004389782303,2688122.3140194784,317.19120870831017,fd
1.0656004389782303,2808680.4615290104,317.80312210896403,fd
1.0656004389782303,2934645.4563591164,318.41503550961795,fd
1.0656004389782303,3066259.787288463,319.0269489102718,fd
1.0656004389782303,3203776.818344132,319.6388623109257,fd
1.0656004389782303,3347461.276539792,320.2998078202836,fd
1.0656004389782303,3497589.7614881177,321.0313636065153,fd
1.0656004389782303,3654451.2778686034,321.762919392747,fd
1.0656004389782303,3818347.7917757044,322.4944751789787,fd
1.0656004389782303,3989594.812018347,323.2260309652104,fd
1.0656004389782303,4168521.9974898216,323.9575867514421,fd
1.0656004389782303,4355473.791777285,324.6891425376737,fd
1.0656004389782303,4550810.086232508,325.48293616130087,fd
1.0656004389782303,4754906.912780375,326.32271783644643,fd
1.0656004389782303,4968157.167798688,327.16249951159193,fd
1.0656004389782303,5190971.36846295,328.00228118673743,fd
1.0656004389782303,5423778.443012007,328.842062861883,fd
1.0656004389782303,5667026.556455885,329.68184453702844,fd
1.0656004389782303,5921183.973315412,330.5860021649277,fd
1.0656004389782303,6186739.959054261,331.5294246161326,fd
1.0656004389782303,6464205.721938956,332.4728470673375,fd
1.0656004389782303,6754115.397139781,333.4162695185424,fd
1.0656004389782303,7057027.074967133,334.35969196974725,fd
1.0656004389782303,7373523.875222661,335.3349534181787,fd
1.0656004389782303,7704215.06973343,336.3774725230928,fd
1.0656004389782303,8049737.255229975,337.4199916280069,fd
1.0656004389782303,8410755.578826228,338.46251073292103,fd
1.0656004389782303,8787965.01846016,339.50502983783514,fd
1.0656004389782303,9182091.720760379,340.5977952168115,fd
1.0656004389782303,9593894.39891389,341.73598193528653,fd
1.0656004389782303,10024165.793226179,342.87416865376156,fd
1.0656004389782303,10473734.197184978,344.01235537223664,fd
1.0656004389782303,10943465.051965833,345.16284942583263,fd
1.0656004389782303,11434262.612448696,346.39408683404025,fd
1.0656004389782303,11947071.687952815,347.62532424224787,fd
1.0656004389782303,12482879.461040903,348.85656165045543,fd
1.0656004389782303,13042717.387893876,350.09429076687604,fd
1.0656004389782303,13627663.183914473,351.41656370686127,fd
1.0656004389782303,14238842.898382109,352.7388366468465,fd
1.0656004389782303,14877433.082152953,354.0611095868318,fd
1.0656004389782303,15544663.052577728,355.4093245976202,fd
1.0656004389782303,16241817.259997869,356.82107083341526,fd
1.0656004389782303,16970237.760375224,358.23281706921034,fd
1.0656004389782303,17731326.798815582,359.6445633050054,fd
1.0656004389782303,18526549.508958913,361.12234560234486,fd
1.0656004389782303,19357436.73343345,362.6223483176197,fd
1.0656004389782303,20225587.97080263,364.1223510328945,fd
1.0656004389782303,21132674.454678074,365.65857748594715,fd
1.0656004389782303,22080442.37092608,367.2458869864448,fd
1.0656004389782303,23070716.219160855,368.8331964869425,fd
1.0656004389782303,24105402.324995548,370.44343879956415,fd
1.0656004389782303,25186492.50981228,372.1173141793708,fd
1.0656004389782303,26316067.925115973,373.7911895591775,fd
1.0656004389782303,27496303.05885253,375.4889563357986,fd
1.0656004389782303,28729469.92140467,377.24882233232245,fd
1.0656004389782303,30017942.41932326,379.0086883288464,fd
1.0656004389782303,31364200.92521326,380.80591416954763,fd
1.0656004389782303,32770837.052572556,382.6513282102795,fd
1.0656004389782303,34240558.64477473,384.4967422510113,fd
1.0656004389782303,35776194.98780002,386.4041312879607,fd
1.0656004389782303,37380702.25674929,388.33475859997685,fd
1.0656004389782303,39057169.206625745,390.2770655580952,fd
1.0656004389782303,40808823.118339464,392.2926598662507,fd
1.0656004389782303,42639036.01138104,394.3082541744061,fd
1.0656004389782303,44551331.135124,396.3795415925089,fd
1.0656004389782303,46549389.751252644,398.47993013270235,fd
1.0656004389782303,48637058.22037037,400.60371594661143,fd
1.0656004389782303,50818355.40643225,402.7887878993491,fd
1.0656004389782303,53097480.41325518,404.9738598520869,fd
1.0656004389782303,55478820.667997524,407.24254407180206,fd
1.0656004389782303,57966960.36717152,409.5122406611628,fd
1.0656004389782303,60566689.30144577,411.8483653167569,fd
1.0656004389782303,63283012.07622662,414.2026729412835,fd
1.0656004389782303,66121157.74576849,416.61295322778585,fd
1.0656004389782303,69086589.87935914,419.0518970178166,fd
1.0656004389782303,72185017.07895792,421.5426118565598,fd
1.0656004389782303,75422403.96853383,424.0662505899379,fd
1.0656004389782303,78804982.6762584,426.6433024515685,fd
1.0656004389782303,82339264.831658,429.25172409238064,fd
1.0656004389782303,86032054.1008183,431.9206886772977,fd
1.0656004389782303,89890459.2837749,434.61400771232115,fd
1.0656004389782303,93921907.99930176,437.38017449237157,fd
