mu_e_ev,temperature_k,du_dt_intra_w_cm3,p_th_model_w_cm3,q_s_cm1,tau_c_lo_energy_s
0.5425845135690094,345.0,-4352532.673974017,4352532.673974017,91433.62745684863,2.193820915735521e-06
0.5425845135690094,350.0,-5255028.546368773,5255028.546368773,95565.91232169657,2.01482437654616e-06
0.5425845135690094,355.0,-6266897.47879586,6266897.47879586,99764.88665418647,1.855874251943347e-06
0.5425845135690094,360.0,-7394569.697281856,7394569.697281856,104028.27494271807,1.7142840059149418e-06
0.5425845135690094,365.0,-8644354.722047713,8644354.722047713,108353.82268124683,1.5877756181641272e-06
0.5425845135690094,370.0,-10022422.317464817,10022422.317464817,112739.29953827933,1.4744108462774319e-06
0.5425845135690094,375.0,-11534787.43148306,11534787.43148306,117182.5021634811,1.3725351138770387e-06
0.5425845135690094,380.0,-13187298.92120067,13187298.92120067,121681.25666003423,1.2807315176732082e-06
0.5425845135690094,385.0,-14985631.761980271,14985631.761980271,126233.42074938139,1.197782979577971e-06
0.5425845135690094,390.0,-16935282.36668061,16935282.36668061,130836.88565298916,1.122640982844183e-06
0.5425845135690094,395.0,-19041566.598734535,19041566.598734535,135489.57771466303,1.0543996522425987e-06
0.5425845135690094,400.0,-21309620.045649406,21309620.045649406,140189.45978477772,9.922741890985452e-07
0.5425845135690094,405.0,-23744400.124376383,23744400.124376383,144934.53238690767,9.355828687986411e-07
0.5425845135690094,410.0,-26350689.612444162,26350689.612444162,149722.83468549274,8.837319634347552e-07
0.5425845135690094,415.0,-29133101.234065287,29133101.234065287,154552.4452720157,8.362030749313061e-07
0.5425845135690094,420.0,-32096082.974050503,32096082.974050503,159421.48278597114,7.925424614560868e-07
0.5425845135690094,425.0,-35243923.840226375,35243923.840226375,164328.10638543108,7.523520176378402e-07
0.5425845135690094,430.0,-38580759.84374943,38580759.84374943,169270.5160812768,7.152816313422112e-07
0.5425845135690094,435.0,-42110580.0135964,42110580.0135964,174246.95294784955,6.810226897717884e-07
0.5425845135690094,440.0,-45837232.3047043,45837232.3047043,179255.69922165322,6.493025480046879e-07
0.5425845135690094,445.0,-49764429.297540024,49764429.297540024,184295.0782995256,6.198798057581972e-07
0.5425845135690094,450.0,-53895753.619705714,53895753.619705714,189363.45464570168,5.925402647157411e-07
0.5425845135690094,455.0,-58234663.047385015,58234663.047385015,194459.2336176086,5.67093460410121e-07
0.5425845135690094,460.0,-62784495.266239755,62784495.266239755,199580.86121831636,5.433696803774005e-07
0.5425845135690094,465.0,-67548472.28820327,67548472.28820327,204726.8237843098,5.212173948471052e-07
0.5425845135690094,470.0,-72529704.53309834,72529704.53309834,209895.64761469618,5.005010382209377e-07
0.5425845135690094,475.0,-77731194.59274286,77731194.59274286,215085.8985495166,4.810990894969416e-07
0.5425845135690094,480.0,-83155840.70089608,83155840.70089608,220296.18150238297,4.629024080045411e-07
0.5425845135690094,485.0,-88806439.93560573,88806439.93560573,225525.13995350906,4.4581278763825763e-07
0.5425845135690094,490.0,-94685691.18184571,94685691.18184571,230771.45540795077,4.2974169846334725e-07
0.5425845135690094,495.0,-100796197.88223495,100796197.88223495,236033.8468236943,4.1460918931697053e-07
0.5425845135690094,500.0,-107140470.60252473,107140470.60252473,241311.07001408178,4.003429290072648e-07
0.5425845135690094,505.0,-113720929.43677208,113720929.43677208,246601.91702803728,3.868773670529854e-07
