delta_mu_ev,temperature_k,mu_e_ev,du_dt_intra_w_cm3,p_th_model_w_cm3,q_s_cm1,tau_c_lo_energy_s,delta_mu_carrier_statistics_model
1.0611789929294846,585.0,0.6076009405564854,-477608954.51732945,477608954.51732945,644748.6361615106,1.2936756171824613e-07,fd
1.0611789929294846,590.0,0.6082902272615229,-497378801.5108758,497378801.5108758,656250.1587035455,1.2647631195330323e-07,fd
1.0611789929294846,595.0,0.6089804137929976,-517611344.51948357,517611344.51948357,667776.1364455454,1.2369691422163793e-07,fd
1.0611789929294846,600.0,0.6096715019981143,-538308167.5620308,538308167.5620308,679325.2141450639,1.210235332043138e-07,fd
1.0611789929294846,605.0,0.610363493029663,-559470755.6741173,559470755.6741173,690896.0716404895,1.1845071241331576e-07,fd
1.0611789929294846,610.0,0.6110563881035818,-581100501.5492142,581100501.5492142,702487.4277602497,1.1597334410282302e-07,fd
1.0611789929294846,615.0,0.6117501879531198,-603198704.8113958,603198704.8113958,714098.0357225859,1.135866434526105e-07,fd
1.0611789929294846,620.0,0.6124448927987393,-625766573.970842,625766573.970842,725726.6818728325,1.1128612436538645e-07,fd
1.0611789929294846,625.0,0.6131405031337707,-648805233.556384,648805233.556384,737372.1900149188,1.090675764688803e-07,fd
1.0611789929294846,630.0,0.6138370189026432,-672315721.2973459,672315721.2973459,749033.4149245882,1.0692704585904467e-07,fd
1.0611789929294846,635.0,0.6145344397467196,-696298991.7032478,696298991.7032478,760709.243037717,1.048608162895064e-07,fd
1.0611789929294846,640.0,0.6152327655401021,-720755921.8289016,720755921.8289016,772398.595266866,1.0286539166798793e-07,fd
1.0611789929294846,645.0,0.6159319955498074,-745687307.7388841,745687307.7388841,784100.4202977024,1.0093748136608209e-07,fd
1.0611789929294846,650.0,0.6166321284056706,-771093865.9848405,771093865.9848405,795813.6933979,9.907398589090482e-08,fd
1.0611789929294846,655.0,0.6173331632060688,-796976243.4202453,796976243.4202453,807537.42336462,9.727198268091455e-08,fd
1.0611789929294846,660.0,0.6180350989560304,-823335015.3951626,823335015.3951626,819270.6478085843,9.552871459220742e-08,fd
1.0611789929294846,665.0,0.6187379336933004,-850170680.9389524,850170680.9389524,831012.4260244163,9.384157950838083e-08,fd
1.0611789929294846,670.0,0.6194416656081096,-877483672.7985961,877483672.7985961,842761.8461792856,9.220811903443489e-08,fd
1.0611789929294846,675.0,0.6201462933351533,-905274361.8427432,905274361.8427432,854518.0267625713,9.062600881495726e-08,fd
1.0611789929294846,680.0,0.620851814199704,-933543044.8578018,933543044.8578018,866280.1030089,8.909305121577576e-08,fd
1.0611789929294846,685.0,0.6215582262394038,-962289962.2833731,962289962.2833731,878047.2409333508,8.760716554664793e-08,fd
1.0611789929294846,690.0,0.6222655270323294,-991515290.5414438,991515290.5414438,889818.6280447815,8.616638152616074e-08,fd
1.0611789929294846,695.0,0.6229737139769342,-1021219145.8374969,1021219145.8374969,901593.4746838099,8.476883209834085e-08,fd
1.0611789929294846,700.0,0.6236827845840298,-1051401588.3021277,1051401588.3021277,913371.0155454674,8.341274678233563e-08,fd
1.0611789929294846,705.0,0.6243927352607106,-1082062612.7072742,1082062612.7072742,925150.499812105,8.209644655626238e-08,fd
1.0611789929294846,710.0,0.6251035637184252,-1113202171.3888323,1113202171.3888323,936931.2087385462,8.081833660756835e-08,fd
1.0611789929294846,715.0,0.6258152663948402,-1144820152.6627643,1144820152.6627643,948712.435481691,7.957690298742658e-08,fd
